ORD,Name,Municipio,State,NOM,InstAG,LocationInsecure,Year,TimeSeries,TimeSeriesAvg,TimeAvg,ExactReport,HP,Yield,Period,Cite,NOM,Yield,Yield1960_T,Yield1960_L,Yield1960_S,Yield1960_E,Yield1990,Yield2007
35,Coatepec Average,Chicoloapan,Mexico,"CHICOLOAPAN, MEXICO",,FALSE,,FALSE,TRUE,FALSE,TRUE,,2471.69,C16 Sample,Offner (1980),"CHICOLOAPAN, MEXICO",2471.69,1037.313433,920,1286.486486,950,1819.5,3781.04766
36,Zapotlan,Zapotlan de Juarez,Hidalgo,"ZAPOTLAN DE JUAREZ, HIDALGO",,FALSE,1553,TRUE,FALSE,FALSE,TRUE,200,2312.40,C16 Sample,Offner (1980),"ZAPOTLAN DE JUAREZ, HIDALGO",2312.40,753.8868674,672.7785614,690.4761905,780.3697183,598,1780.391461
37,Zapotlan,Zapotlan de Juarez,Hidalgo,"ZAPOTLAN DE JUAREZ, HIDALGO",,FALSE,1554,TRUE,FALSE,FALSE,TRUE,100,1156.20,C16 Sample,Offner (1980),"ZAPOTLAN DE JUAREZ, HIDALGO",1156.20,753.8868674,672.7785614,690.4761905,780.3697183,598,1780.391461
38,Zapotlan,Zapotlan de Juarez,Hidalgo,"ZAPOTLAN DE JUAREZ, HIDALGO",,FALSE,1555,TRUE,FALSE,FALSE,TRUE,70,809.30,C16 Sample,Offner (1980),"ZAPOTLAN DE JUAREZ, HIDALGO",809.30,753.8868674,672.7785614,690.4761905,780.3697183,598,1780.391461
39,Zapotlan,Zapotlan de Juarez,Hidalgo,"ZAPOTLAN DE JUAREZ, HIDALGO",,FALSE,1556,TRUE,FALSE,FALSE,TRUE,50,578.50,C16 Sample,Offner (1980),"ZAPOTLAN DE JUAREZ, HIDALGO",578.50,753.8868674,672.7785614,690.4761905,780.3697183,598,1780.391461
40,Zapotlan,Zapotlan de Juarez,Hidalgo,"ZAPOTLAN DE JUAREZ, HIDALGO",,FALSE,1557,TRUE,FALSE,FALSE,TRUE,80,925.00,C16 Sample,Offner (1980),"ZAPOTLAN DE JUAREZ, HIDALGO",925.00,753.8868674,672.7785614,690.4761905,780.3697183,598,1780.391461
41,Zapotlan,Zapotlan de Juarez,Hidalgo,"ZAPOTLAN DE JUAREZ, HIDALGO",,FALSE,1558,TRUE,FALSE,FALSE,TRUE,132,1526.20,C16 Sample,Offner (1980),"ZAPOTLAN DE JUAREZ, HIDALGO",1526.20,753.8868674,672.7785614,690.4761905,780.3697183,598,1780.391461
42,Zapotlan,Zapotlan de Juarez,Hidalgo,"ZAPOTLAN DE JUAREZ, HIDALGO",,FALSE,1559,TRUE,FALSE,FALSE,TRUE,90,1040.60,C16 Sample,Offner (1980),"ZAPOTLAN DE JUAREZ, HIDALGO",1040.60,753.8868674,672.7785614,690.4761905,780.3697183,598,1780.391461
43,Zapotlan,Zapotlan de Juarez,Hidalgo,"ZAPOTLAN DE JUAREZ, HIDALGO",,FALSE,1560,TRUE,FALSE,FALSE,TRUE,156,1803.70,C16 Sample,Offner (1980),"ZAPOTLAN DE JUAREZ, HIDALGO",1803.70,753.8868674,672.7785614,690.4761905,780.3697183,598,1780.391461
44,Zapotlan Average,Zapotlan de Juarez,Hidalgo,"ZAPOTLAN DE JUAREZ, HIDALGO",,FALSE,,FALSE,TRUE,FALSE,TRUE,,1268.99,C16 Sample,Offner (1980),"ZAPOTLAN DE JUAREZ, HIDALGO",1268.99,753.8868674,672.7785614,690.4761905,780.3697183,598,1780.391461
45,Tizayuca,Tizayuca,Hidalgo,"TIZAYUCA, HIDALGO",,FALSE,1553,TRUE,FALSE,FALSE,TRUE,45.9,529.40,C16 Sample,Offner (1980),"TIZAYUCA, HIDALGO",529.40,856.7830155,1128.919861,751.497006,800.9108653,1257.9,4344.814727
46,Tizayuca,Tizayuca,Hidalgo,"TIZAYUCA, HIDALGO",,FALSE,1554,TRUE,FALSE,FALSE,TRUE,84,968.30,C16 Sample,Offner (1980),"TIZAYUCA, HIDALGO",968.30,856.7830155,1128.919861,751.497006,800.9108653,1257.9,4344.814727
47,Tizayuca,Tizayuca,Hidalgo,"TIZAYUCA, HIDALGO",,FALSE,1555,TRUE,FALSE,FALSE,TRUE,69.5,800.60,C16 Sample,Offner (1980),"TIZAYUCA, HIDALGO",800.60,856.7830155,1128.919861,751.497006,800.9108653,1257.9,4344.814727
48,Tizayuca,Tizayuca,Hidalgo,"TIZAYUCA, HIDALGO",,FALSE,1556,TRUE,FALSE,FALSE,TRUE,126.8,1461.50,C16 Sample,Offner (1980),"TIZAYUCA, HIDALGO",1461.50,856.7830155,1128.919861,751.497006,800.9108653,1257.9,4344.814727
49,Tizayuca,Tizayuca,Hidalgo,"TIZAYUCA, HIDALGO",,FALSE,1557,TRUE,FALSE,FALSE,TRUE,11.4,131.50,C16 Sample,Offner (1980),"TIZAYUCA, HIDALGO",131.50,856.7830155,1128.919861,751.497006,800.9108653,1257.9,4344.814727
50,Tizayuca,Tizayuca,Hidalgo,"TIZAYUCA, HIDALGO",,FALSE,1558,TRUE,FALSE,FALSE,TRUE,145.8,1680.20,C16 Sample,Offner (1980),"TIZAYUCA, HIDALGO",1680.20,856.7830155,1128.919861,751.497006,800.9108653,1257.9,4344.814727
51,Tizayuca,Tizayuca,Hidalgo,"TIZAYUCA, HIDALGO",,FALSE,1559,TRUE,FALSE,FALSE,TRUE,72.5,835.20,C16 Sample,Offner (1980),"TIZAYUCA, HIDALGO",835.20,856.7830155,1128.919861,751.497006,800.9108653,1257.9,4344.814727
52,Tizayuca,Tizayuca,Hidalgo,"TIZAYUCA, HIDALGO",,FALSE,1560,TRUE,FALSE,FALSE,TRUE,136.9,1578.20,C16 Sample,Offner (1980),"TIZAYUCA, HIDALGO",1578.20,856.7830155,1128.919861,751.497006,800.9108653,1257.9,4344.814727
53,Tizayuca,Tizayuca,Hidalgo,"TIZAYUCA, HIDALGO",,FALSE,1561,TRUE,FALSE,FALSE,TRUE,118.8,1369.50,C16 Sample,Offner (1980),"TIZAYUCA, HIDALGO",1369.50,856.7830155,1128.919861,751.497006,800.9108653,1257.9,4344.814727
54,Tizayuca Average,Tizayuca,Hidalgo,"TIZAYUCA, HIDALGO",,FALSE,,FALSE,TRUE,FALSE,TRUE,,1039.38,C16 Sample,Offner (1980),"TIZAYUCA, HIDALGO",1039.38,856.7830155,1128.919861,751.497006,800.9108653,1257.9,4344.814727
55,Tepepolco,Tepeapulco,Hidalgo,"TEPEAPULCO, HIDALGO",,FALSE,1553,TRUE,FALSE,FALSE,TRUE,356,4116.10,C16 Sample,Offner (1980),"TEPEAPULCO, HIDALGO",4116.10,706.528371,736.4864865,625,705.720193,751,1310.73466
