Location,State,Region,Size,NOM,Yield,Series,,,,,
FRANCISCO I. MADERO,Hidalgo,,Total,"FRANCISCO I. MADERO, HIDALGO",1209.273948,AG Census 1960,,,,,
FRANCISCO I. MADERO,Hidalgo,,Small,"FRANCISCO I. MADERO, HIDALGO",1373.417722,AG Census 1960,,,,,
FRANCISCO I. MADERO,Hidalgo,,Large,"FRANCISCO I. MADERO, HIDALGO",1387.033399,AG Census 1960,,,,,
MINERAL DE LA REFORMA,Hidalgo,,Large,"MINERAL DE LA REFORMA, HIDALGO",447.4576271,AG Census 1960,,,,,
MINERAL DE LA REFORMA,Hidalgo,,Small,"MINERAL DE LA REFORMA, HIDALGO",511.4503817,AG Census 1960,,,,,
MINERAL DE LA REFORMA,Hidalgo,,Total,"MINERAL DE LA REFORMA, HIDALGO",592.4426451,AG Census 1960,,,,,
MINERAL DE LA REFORMA,Hidalgo,,Ejido,"MINERAL DE LA REFORMA, HIDALGO",761.9047619,AG Census 1960,,,,,
MINERAL DEL MONTE,Hidalgo,,Small,"MINERAL DEL MONTE, HIDALGO",693.4306569,AG Census 1960,,,,,
MINERAL DEL MONTE,Hidalgo,,Total,"MINERAL DEL MONTE, HIDALGO",713.6752137,AG Census 1960,,,,,
MINERAL DEL MONTE,Hidalgo,,Large,"MINERAL DEL MONTE, HIDALGO",714.2857143,AG Census 1960,,,,,
MINERAL DEL MONTE,Hidalgo,,Ejido,"MINERAL DEL MONTE, HIDALGO",763.6363636,AG Census 1960,,,,,
MIXQUIAHUALA DE JUAREZ,Hidalgo,,Ejido,"MIXQUIAHUALA DE JUAREZ, HIDALGO",962.1621622,AG Census 1960,,,,,
MIXQUIAHUALA DE JUAREZ,Hidalgo,,Small,"MIXQUIAHUALA DE JUAREZ, HIDALGO",1123.333333,AG Census 1960,,,,,
MIXQUIAHUALA DE JUAREZ,Hidalgo,,Total,"MIXQUIAHUALA DE JUAREZ, HIDALGO",1217.635403,AG Census 1960,,,,,
MIXQUIAHUALA DE JUAREZ,Hidalgo,,Large,"MIXQUIAHUALA DE JUAREZ, HIDALGO",1364.392679,AG Census 1960,,,,,
PACHUCA DE SOTO,Hidalgo,,Large,"PACHUCA DE SOTO, HIDALGO",764.7058824,AG Census 1960,,,,,
PACHUCA DE SOTO,Hidalgo,,Total,"PACHUCA DE SOTO, HIDALGO",813.7339056,AG Census 1960,,,,,
PACHUCA DE SOTO,Hidalgo,,Ejido,"PACHUCA DE SOTO, HIDALGO",819.4154489,AG Census 1960,,,,,
PACHUCA DE SOTO,Hidalgo,,Small,"PACHUCA DE SOTO, HIDALGO",1000,AG Census 1960,,,,,
SAN AGUSTIN TLAXIACA,Hidalgo,,Small,"SAN AGUSTIN TLAXIACA, HIDALGO",586.3309353,AG Census 1960,,,,,
SAN AGUSTIN TLAXIACA,Hidalgo,,Total,"SAN AGUSTIN TLAXIACA, HIDALGO",768.7213449,AG Census 1960,,,,,
SAN AGUSTIN TLAXIACA,Hidalgo,,Ejido,"SAN AGUSTIN TLAXIACA, HIDALGO",776.6990291,AG Census 1960,,,,,
SAN AGUSTIN TLAXIACA,Hidalgo,,Large,"SAN AGUSTIN TLAXIACA, HIDALGO",884.3930636,AG Census 1960,,,,,
SINGUILUCAN,Hidalgo,,Ejido,"SINGUILUCAN, HIDALGO",711.1716621,AG Census 1960,,,,,
SINGUILUCAN,Hidalgo,,Total,"SINGUILUCAN, HIDALGO",737.9679144,AG Census 1960,,,,,
SINGUILUCAN,Hidalgo,,Large,"SINGUILUCAN, HIDALGO",773.480663,AG Census 1960,,,,,
SINGUILUCAN,Hidalgo,,Small,"SINGUILUCAN, HIDALGO",1000,AG Census 1960,,,,,
TEPEAPULCO,Hidalgo,,Small,"TEPEAPULCO, HIDALGO",625,AG Census 1960,,,,,
TEPEAPULCO,Hidalgo,,Ejido,"TEPEAPULCO, HIDALGO",705.720193,AG Census 1960,,,,,
TEPEAPULCO,Hidalgo,,Total,"TEPEAPULCO, HIDALGO",706.528371,AG Census 1960,,,,,
TEPEAPULCO,Hidalgo,,Large,"TEPEAPULCO, HIDALGO",736.4864865,AG Census 1960,,,,,
TEPEJI DEL RIO DE OCAMPO,Hidalgo,,Ejido,"TEPEJI DEL RIO DE OCAMPO, HIDALGO",818.0728667,AG Census 1960,,,,,
TEPEJI DEL RIO DE OCAMPO,Hidalgo,,Total,"TEPEJI DEL RIO DE OCAMPO, HIDALGO",888.907967,AG Census 1960,,,,,
TEPEJI DEL RIO DE OCAMPO,Hidalgo,,Small,"TEPEJI DEL RIO DE OCAMPO, HIDALGO",1057.116954,AG Census 1960,,,,,
TEPEJI DEL RIO DE OCAMPO,Hidalgo,,Large,"TEPEJI DEL RIO DE OCAMPO, HIDALGO",1089.253188,AG Census 1960,,,,,
TEPETITLAN,Hidalgo,,Small,"TEPETITLAN, HIDALGO",699.6197719,AG Census 1960,,,,,
TEPETITLAN,Hidalgo,,Ejido,"TEPETITLAN, HIDALGO",766.7785235,AG Census 1960,,,,,
TEPETITLAN,Hidalgo,,Total,"TEPETITLAN, HIDALGO",779.9485861,AG Census 1960,,,,,
TEPETITLAN,Hidalgo,,Large,"TEPETITLAN, HIDALGO",1090.909091,AG Census 1960,,,,,
TETEPANGO,Hidalgo,,Ejido,"TETEPANGO, HIDALGO",739.0625,AG Census 1960,,,,,
TETEPANGO,Hidalgo,,Total,"TETEPANGO, HIDALGO",743.8136827,AG Census 1960,,,,,
TETEPANGO,Hidalgo,,Small,"TETEPANGO, HIDALGO",750,AG Census 1960,,,,,
TETEPANGO,Hidalgo,,Large,"TETEPANGO, HIDALGO",933.3333333,AG Census 1960,,,,,
TEZONTEPEC DE ALDAMA,Hidalgo,,Ejido,"TEZONTEPEC DE ALDAMA, HIDALGO",747.8391582,AG Census 1960,,,,,
TEZONTEPEC DE ALDAMA,Hidalgo,,Total,"TEZONTEPEC DE ALDAMA, HIDALGO",1146.822815,AG Census 1960,,,,,
TEZONTEPEC DE ALDAMA,Hidalgo,,Large,"TEZONTEPEC DE ALDAMA, HIDALGO",1261.904762,AG Census 1960,,,,,
TEZONTEPEC DE ALDAMA,Hidalgo,,Small,"TEZONTEPEC DE ALDAMA, HIDALGO",1939.320388,AG Census 1960,,,,,
TIZAYUCA,Hidalgo,,Small,"TIZAYUCA, HIDALGO",751.497006,AG Census 1960,,,,,
TIZAYUCA,Hidalgo,,Ejido,"TIZAYUCA, HIDALGO",800.9108653,AG Census 1960,,,,,
TIZAYUCA,Hidalgo,,Total,"TIZAYUCA, HIDALGO",856.7830155,AG Census 1960,,,,,
TIZAYUCA,Hidalgo,,Large,"TIZAYUCA, HIDALGO",1128.919861,AG Census 1960,,,,,
TLANALAPA,Hidalgo,,Small,"TLANALAPA, HIDALGO",633.3333333,AG Census 1960,,,,,
TLANALAPA,Hidalgo,,Total,"TLANALAPA, HIDALGO",786.7346939,AG Census 1960,,,,,
