ORD,Location,State,Region,INCLUDE,Size,NOM,Harvested_ha,Fallow_ha,Maize1960_ha,Maize1960_kg,MaizeIrr1960_ha,Maize1960_t,Maize1960_kgha,Fert_ha,Properties,Properties_ha,Cultiv_ha,Irrigated_ha,Humedad_ha,Temporal_ha,FPA_ha,Pasture_ha,Forest_ha,UncultivArable_ha,Inarable_ha
130,CHAPULTENANGO,Chiapas,,FALSE,Large,"CHAPULTENANGO, CHIAPAS",285,0,164,155000,0,155,945.1219512,0,,,0,,,,,,,,
131,CHAPULTENANGO,Chiapas,,FALSE,Small,"CHAPULTENANGO, CHIAPAS",0,0,0,0,0,0,,0,,,0,,,,,,,,
132,CHAPULTENANGO,Chiapas,,FALSE,Ejido,"CHAPULTENANGO, CHIAPAS",2470,3320,2176,1863000,0,1863,856.1580882,0,,,0,,,,,,,,
133,CHENALHO,Chiapas,,FALSE,Total,"CHENALHO, CHIAPAS",3634,2498,2497,2432000,9,2432,973.9687625,40,,,0,,,,,,,,
134,CHENALHO,Chiapas,,FALSE,Large,"CHENALHO, CHIAPAS",2329,2091,1658,1726000,9,1726,1041.013269,36,,,0,,,,,,,,
135,CHENALHO,Chiapas,,FALSE,Small,"CHENALHO, CHIAPAS",11,0,8,9000,0,9,1125,0,,,0,,,,,,,,
136,CHENALHO,Chiapas,,FALSE,Ejido,"CHENALHO, CHIAPAS",1294,407,831,697000,0,697,838.7484958,4,,,0,,,,,,,,
137,CHIAPA DE CORZO,Chiapas,,FALSE,Total,"CHIAPA DE CORZO, CHIAPAS",23723,754,23656,21724000,26,21724,918.3293879,713,,,0,,,,,,,,
138,CHIAPA DE CORZO,Chiapas,,FALSE,Large,"CHIAPA DE CORZO, CHIAPAS",17810,613,17872,16844000,26,16844,942.4798568,226,,,0,,,,,,,,
139,CHIAPA DE CORZO,Chiapas,,FALSE,Small,"CHIAPA DE CORZO, CHIAPAS",585,0,576,575000,0,575,998.2638889,0,,,0,,,,,,,,
140,CHIAPA DE CORZO,Chiapas,,FALSE,Ejido,"CHIAPA DE CORZO, CHIAPAS",5328,141,5208,4305000,0,4305,826.6129032,487,,,0,,,,,,,,
141,CHIAPILLA,Chiapas,,FALSE,Total,"CHIAPILLA, CHIAPAS",1734,391,1608,1410000,232,1410,876.8656716,200,,,0,,,,,,,,
142,CHIAPILLA,Chiapas,,FALSE,Large,"CHIAPILLA, CHIAPAS",480,339,450,390000,9,390,866.6666667,200,,,0,,,,,,,,
143,CHIAPILLA,Chiapas,,FALSE,Small,"CHIAPILLA, CHIAPAS",45,0,42,42000,2,42,1000,0,,,0,,,,,,,,
144,CHIAPILLA,Chiapas,,FALSE,Ejido,"CHIAPILLA, CHIAPAS",1209,52,1116,978000,221,978,876.344086,0,,,0,,,,,,,,
145,CHICOASEN,Chiapas,,FALSE,Total,"CHICOASEN, CHIAPAS",657,0,660,529000,0,529,801.5151515,0,,,0,,,,,,,,
146,CHICOASEN,Chiapas,,FALSE,Large,"CHICOASEN, CHIAPAS",67,0,70,97000,0,97,1385.714286,0,,,0,,,,,,,,
147,CHICOASEN,Chiapas,,FALSE,Small,"CHICOASEN, CHIAPAS",0,0,0,0,0,0,,0,,,0,,,,,,,,
148,CHICOASEN,Chiapas,,FALSE,Ejido,"CHICOASEN, CHIAPAS",590,0,590,432000,0,432,732.2033898,0,,,0,,,,,,,,
149,CHICOMUSELO,Chiapas,,FALSE,Total,"CHICOMUSELO, CHIAPAS",2322,4510,2031,2006000,0,2006,987.6907927,0,,,0,,,,,,,,
150,CHICOMUSELO,Chiapas,,FALSE,Large,"CHICOMUSELO, CHIAPAS",483,3328,458,507000,0,507,1106.9869,0,,,0,,,,,,,,
151,CHICOMUSELO,Chiapas,,FALSE,Small,"CHICOMUSELO, CHIAPAS",11,0,10,6000,0,6,600,0,,,0,,,,,,,,
152,CHICOMUSELO,Chiapas,,FALSE,Ejido,"CHICOMUSELO, CHIAPAS",1828,1182,1563,1490000,0,1490,953.2949456,0,,,0,,,,,,,,
153,CHILON,Chiapas,,FALSE,Total,"CHILON, CHIAPAS",7796,6948,5604,5184000,3,5184,925.0535332,0,,,0,,,,,,,,
154,CHILON,Chiapas,,FALSE,Large,"CHILON, CHIAPAS",1843,1154,1584,1730000,3,1730,1092.171717,0,,,0,,,,,,,,
155,CHILON,Chiapas,,FALSE,Small,"CHILON, CHIAPAS",213,0,175,122000,0,122,697.1428571,0,,,0,,,,,,,,
156,CHILON,Chiapas,,FALSE,Ejido,"CHILON, CHIAPAS",5740,5794,3845,3332000,0,3332,866.579974,0,,,0,,,,,,,,
157,ESCUINTLA,Chiapas,,FALSE,Total,"ESCUINTLA, CHIAPAS",1891,3871,1591,1499000,7,1499,942.1747329,7,,,0,,,,,,,,
158,ESCUINTLA,Chiapas,,FALSE,Large,"ESCUINTLA, CHIAPAS",375,728,386,363000,3,363,940.4145078,0,,,0,,,,,,,,
159,ESCUINTLA,Chiapas,,FALSE,Small,"ESCUINTLA, CHIAPAS",12,0,9,7000,4,7,777.7777778,0,,,0,,,,,,,,
160,ESCUINTLA,Chiapas,,FALSE,Ejido,"ESCUINTLA, CHIAPAS",1504,3143,1196,1129000,0,1129,943.9799331,7,,,0,,,,,,,,
161,FRANCISCO LEON,Chiapas,,FALSE,Total,"FRANCISCO LEON, CHIAPAS",1041,264,895,869000,0,869,970.9497207,0,,,0,,,,,,,,
162,FRANCISCO LEON,Chiapas,,FALSE,Large,"FRANCISCO LEON, CHIAPAS",78,264,78,84000,0,84,1076.923077,0,,,0,,,,,,,,
163,FRANCISCO LEON,Chiapas,,FALSE,Small,"FRANCISCO LEON, CHIAPAS",0,0,0,0,0,0,,0,,,0,,,,,,,,
164,FRANCISCO LEON,Chiapas,,FALSE,Ejido,"FRANCISCO LEON, CHIAPAS",963,0,817,785000,0,785,960.8323133,0,,,0,,,,,,,,
165,FRONTERA COMALAPA,Chiapas,,FALSE,Total,"FRONTERA COMALAPA, CHIAPAS",5751,2938,4862,5283000,8,5283,1086.589881,24,,,0,,,,,,,,
166,FRONTERA COMALAPA,Chiapas,,FALSE,Large,"FRONTERA COMALAPA, CHIAPAS",806,18,792,937000,0,937,1183.080808,0,,,0,,,,,,,,
167,FRONTERA COMALAPA,Chiapas,,FALSE,Small,"FRONTERA COMALAPA, CHIAPAS",2,0,2,2000,0,2,1000,0,,,0,,,,,,,,
168,FRONTERA COMALAPA,Chiapas,,FALSE,Ejido,"FRONTERA COMALAPA, CHIAPAS",4943,2920,4068,4344000,8,4344,1067.846608,24,,,0,,,,,,,,
169,FRONTERA HIDALGO,Chiapas,,FALSE,Total,"FRONTERA HIDALGO, CHIAPAS",2169,137,1595,1367000,2,1367,857.0532915,1,,,0,,,,,,,,
