,,,Riego,Riego,Riego,Temporal,Temporal,Temporal,,,Total Average of Yield,Total StdDev of Yield,,Riego,Temporal,,
Row Labels,,Region,Average of Yield,StdDev of Yield,CV,Average of Yield,StdDev of Yield,CV,I/T Avg,I/T CV,Average of Yield,StdDev of Yield,Overall Average by summation,Avg Planted,Avg Planted,Avg % Irrigated,Overall Average by summation
Jilotzingo,Mexico,BOM,4614.7,952.4,20.6,2150.5,472.4,22.0,2.1,0.9,3382.6,1452.2,2509.1,624.8042105,1136.093158,35.5%,2509.118466
Juchitepec,Mexico,BOM,,,#DIV/0!,3772.1,853.5,22.6,,,3772.1,853.5,2820.0,758.0973684,2423.928421,23.8%,2820.00656
La Paz,Mexico,BOM,,,#DIV/0!,2076.8,508.0,24.5,,,2076.8,508.0,2511.2,379.7884211,2900.508421,11.6%,2511.209718
Melchor Ocampo,Mexico,BOM,4847.9,949.3,19.6,1860.0,357.8,19.2,2.6,1.0,4225.4,1504.7,2324.0,23.53736842,20.94631579,52.9%,2324.036221
Mexicaltzingo,Mexico,BOM,,,#DIV/0!,3867.9,902.2,23.3,,,3867.9,902.2,2964.2,0.0,1516.105263,0.0%,2964.20954
Naucalpan de Juarez,Mexico,BOM,4752.6,1082.4,22.8,2126.8,455.0,21.4,2.2,1.1,3439.7,1562.4,2355.9,532.03625,1972.595789,21.2%,2355.867447
Nextlalpan,Mexico,BOM,5430.0,1309.5,24.1,1630.0,696.4,42.7,3.3,0.6,3530.0,2185.8,2009.1,596.9411765,4041.578947,12.9%,2009.072778
Nicolas Romero,Mexico,BOM,4657.4,804.9,17.3,2304.7,445.9,19.3,2.0,0.9,3481.1,1353.9,3239.0,316.33,134.5510526,70.2%,3238.979652
Nopaltepec,Mexico,BOM,,,#DIV/0!,1335.8,494.0,37.0,,,1335.8,494.0,3662.7,0.0,5231.691579,0.0%,3662.650827
Otumba,Mexico,BOM,4108.9,823.5,20.0,1361.1,482.5,35.5,3.0,0.6,2735.0,1543.3,2969.4,135.89,3252.631579,4.0%,2969.367851
Ozumba,Mexico,BOM,,,#DIV/0!,3304.7,789.7,23.9,,,3304.7,789.7,2666.2,0.0,553.4273684,0.0%,2666.196263
Papalotla,Mexico,BOM,3632.6,1151.4,31.7,1823.2,722.6,39.6,2.0,0.8,2727.9,1319.0,4229.6,30.74578947,1037.270526,2.9%,4229.606684
San Martin de Las Piramides,Mexico,BOM,4201.6,746.8,17.8,1379.5,452.5,32.8,3.0,0.5,2790.5,1554.3,4400.0,128.26375,15.364375,89.3%,4399.960836
Tecamac,Mexico,BOM,5322.6,1048.3,19.7,1854.2,864.3,46.6,2.9,0.4,3588.4,1996.7,3501.3,4949.798421,9438.815789,34.4%,3501.289207
Temamatla,Mexico,BOM,,,#DIV/0!,3272.1,453.6,13.9,,,3272.1,453.6,3095.3,311.1205263,536.6315789,36.7%,3095.255398
Temascalapa,Mexico,BOM,,,#DIV/0!,1330.0,388.9,29.2,,,1330.0,388.9,2389.4,195.4373684,402.2105263,32.7%,2389.419854
Tenango del Aire,Mexico,BOM,,,#DIV/0!,3928.4,962.6,24.5,,,3928.4,962.6,3253.6,139.8923529,98.52470588,58.7%,3253.612434
Teoloyucan,Mexico,BOM,4723.2,857.9,18.2,1910.8,422.4,22.1,2.5,0.8,3580.6,1570.3,3659.1,0.0,1934.784211,0.0%,3659.101157
Teotihuacan,Mexico,BOM,4116.3,634.8,15.4,1518.9,553.5,36.4,2.7,0.4,2817.6,1441.3,3890.1,0.0,3808.684211,0.0%,3890.079508
Tepetlaoxtoc,Mexico,BOM,3712.6,1477.4,39.8,2043.2,1125.4,55.1,1.8,0.7,2877.9,1547.1,1913.4,0.0,100.7626316,0.0%,1913.350292
Tepetlixpa,Mexico,BOM,,,#DIV/0!,3081.1,479.0,15.5,,,3081.1,479.0,3560.5,479.9157895,9393.142105,4.9%,3560.485156
Tepotzotlan,Mexico,BOM,4774.2,1114.9,23.4,2159.5,628.4,29.1,2.2,0.8,3466.8,1597.6,3406.7,1580,3009.687895,34.4%,3406.674474
