ORD,Estado_ID,Estado,ddr_ID,ddr,Cader_ID,Cader,Municipio_ID,Municipio,EstadoMunicipio,Name,Region,INCLUDE,NOM
99,13,Hidalgo,62,Pachuca,1,Pachuca,83,Zempoala,"Zempoala, Hidalgo",Zempoala,Pachuca,TRUE,"ZEMPOALA, HIDALGO"
101,15,Mexico,77,Atlacomulco,8,Acambay,1,Acambay de Ruiz Castaneda,"Acambay de Ruiz Castaneda, Mexico",Acambay,North Toluca,TRUE,"ACAMBAY, MEXICO"
102,15,Mexico,74,Zumpango,2,San Juan Teotihuacan,2,Acolman,"Acolman, Mexico",Acolman,BOM,TRUE,"ACOLMAN, MEXICO"
103,15,Mexico,80,Jilotepec,3,Arroyozarco,3,Aculco,"Aculco, Mexico",Aculco,North Toluca,TRUE,"ACULCO, MEXICO"
105,15,Mexico,73,Toluca,2,Almoloya de Juarez,5,Almoloya de Juarez,"Almoloya de Juarez, Mexico",Almoloya de Juarez,Toluca,TRUE,"ALMOLOYA DE JUAREZ, MEXICO"
106,15,Mexico,73,Toluca,7,Santiago Tianguistengo,6,Almoloya del Rio,"Almoloya del Rio, Mexico",Almoloya del Rio,Toluca,TRUE,"ALMOLOYA DEL RIO, MEXICO"
109,15,Mexico,75,Texcoco,5,Amecameca,9,Amecameca,"Amecameca, Mexico",Amecameca,BOM,TRUE,"AMECAMECA, MEXICO"
110,15,Mexico,74,Zumpango,1,Zumpango,10,Apaxco,"Apaxco, Mexico",Apaxco,BOM,TRUE,"APAXCO, MEXICO"
111,15,Mexico,75,Texcoco,1,Atenco,11,Atenco,"Atenco, Mexico",Atenco,BOM,TRUE,"ATENCO, MEXICO"
112,15,Mexico,73,Toluca,7,Santiago Tianguistengo,12,Atizapan,"Atizapan, Mexico",Atizapan,Toluca,TRUE,"ATIZAPAN, MEXICO"
113,15,Mexico,74,Zumpango,4,Nicolas Romero,13,Atizapan de Zaragoza,"Atizapan de Zaragoza, Mexico",Atizapan de Zaragoza,BOM,TRUE,"ATIZAPAN DE ZARAGOZA, MEXICO"
114,15,Mexico,77,Atlacomulco,3,Atlacomulco,14,Atlacomulco,"Atlacomulco, Mexico",Atlacomulco,Toluca,TRUE,"ATLACOMULCO, MEXICO"
115,15,Mexico,75,Texcoco,7,Atlautla,15,Atlautla,"Atlautla, Mexico",Atlautla,BOM,TRUE,"ATLAUTLA, MEXICO"
116,15,Mexico,74,Zumpango,2,San Juan Teotihuacan,16,Axapusco,"Axapusco, Mexico",Axapusco,BOM,TRUE,"AXAPUSCO, MEXICO"
117,15,Mexico,75,Texcoco,5,Amecameca,17,Ayapango,"Ayapango, Mexico",Ayapango,BOM,TRUE,"AYAPANGO, MEXICO"
118,15,Mexico,73,Toluca,8,Mexicalzingo,18,Calimaya,"Calimaya, Mexico",Calimaya,Toluca,TRUE,"CALIMAYA, MEXICO"
119,15,Mexico,73,Toluca,7,Santiago Tianguistengo,19,Capulhuac,"Capulhuac, Mexico",Capulhuac,Toluca,TRUE,"CAPULHUAC, MEXICO"
120,15,Mexico,75,Texcoco,1,Atenco,20,Coacalco de Berriozabal,"Coacalco de Berriozabal, Mexico",Coacalco de Berriozabal,BOM,TRUE,"COACALCO DE BERRIOZABAL, MEXICO"
121,15,Mexico,78,Coatepec Harinas,3,Coatepec Harinas,21,Coatepec Harinas,"Coatepec Harinas, Mexico",Coatepec Harinas,Toluca,TRUE,"COATEPEC HARINAS, MEXICO"
122,15,Mexico,75,Texcoco,4,Chalco,22,Cocotitlan,"Cocotitlan, Mexico",Cocotitlan,BOM,TRUE,"COCOTITLAN, MEXICO"
123,15,Mexico,74,Zumpango,3,Cuautitlan,23,Coyotepec,"Coyotepec, Mexico",Coyotepec,BOM,TRUE,"COYOTEPEC, MEXICO"
124,15,Mexico,74,Zumpango,3,Cuautitlan,24,Cuautitlan,"Cuautitlan, Mexico",Cuautitlan,BOM,TRUE,"CUAUTITLAN, MEXICO"
125,15,Mexico,75,Texcoco,4,Chalco,25,Chalco,"Chalco, Mexico",Chalco,BOM,TRUE,"CHALCO, MEXICO"
126,15,Mexico,80,Jilotepec,1,Chapa de Mota,26,Chapa de Mota,"Chapa de Mota, Mexico",Chapa de Mota,North Toluca,TRUE,"CHAPA DE MOTA, MEXICO"
127,15,Mexico,73,Toluca,8,Mexicalzingo,27,Chapultepec,"Chapultepec, Mexico",Chapultepec,BOM,TRUE,"CHAPULTEPEC, MEXICO"
128,15,Mexico,75,Texcoco,1,Atenco,28,Chiautla,"Chiautla, Mexico",Chiautla,BOM,TRUE,"CHIAUTLA, MEXICO"
129,15,Mexico,75,Texcoco,3,Ixtapaluca,29,Chicoloapan,"Chicoloapan, Mexico",Chicoloapan,BOM,TRUE,"CHICOLOAPAN, MEXICO"
130,15,Mexico,75,Texcoco,1,Atenco,30,Chiconcuac,"Chiconcuac, Mexico",Chiconcuac,BOM,TRUE,"CHICONCUAC, MEXICO"
131,15,Mexico,75,Texcoco,3,Ixtapaluca,31,Chimalhuacan,"Chimalhuacan, Mexico",Chimalhuacan,BOM,TRUE,"CHIMALHUACAN, MEXICO"
133,15,Mexico,75,Texcoco,1,Atenco,33,Ecatepec de Morelos,"Ecatepec de Morelos, Mexico",Ecatepec de Morelos,BOM,TRUE,"ECATEPEC DE MORELOS, MEXICO"
134,15,Mexico,75,Texcoco,7,Atlautla,34,Ecatzingo,"Ecatzingo, Mexico",Ecatzingo,BOM,TRUE,"ECATZINGO, MEXICO"
135,15,Mexico,74,Zumpango,3,Cuautitlan,35,Huehuetoca,"Huehuetoca, Mexico",Huehuetoca,BOM,TRUE,"HUEHUETOCA, MEXICO"
136,15,Mexico,74,Zumpango,1,Zumpango,36,Hueypoxtla,"Hueypoxtla, Mexico",Hueypoxtla,BOM,TRUE,"HUEYPOXTLA, MEXICO"
137,15,Mexico,73,Toluca,1,Lerma,37,Huixquilucan,"Huixquilucan, Mexico",Huixquilucan,BOM,TRUE,"HUIXQUILUCAN, MEXICO"
138,15,Mexico,74,Zumpango,4,Nicolas Romero,38,Isidro Fabela,"Isidro Fabela, Mexico",Isidro Fabela,BOM,TRUE,"ISIDRO FABELA, MEXICO"
139,15,Mexico,75,Texcoco,3,Ixtapaluca,39,Ixtapaluca,"Ixtapaluca, Mexico",Ixtapaluca,BOM,TRUE,"IXTAPALUCA, MEXICO"
140,15,Mexico,78,Coatepec Harinas,10,Tonatico,40,Ixtapan de La Sal,"Ixtapan de La Sal, Mexico",Ixtapan de la Sal,Toluca,TRUE,"IXTAPAN DE LA SAL, MEXICO"
142,15,Mexico,77,Atlacomulco,4,Ixtlahuaca,42,Ixtlahuaca,"Ixtlahuaca, Mexico",Ixtlahuaca,Toluca,TRUE,"IXTLAHUACA, MEXICO"
143,15,Mexico,73,Toluca,7,Santiago Tianguistengo,43,Xalatlaco,"Xalatlaco, Mexico",Xalatlaco,Toluca,TRUE,"XALATLACO, MEXICO"
144,15,Mexico,74,Zumpango,1,Zumpango,44,Jaltenco,"Jaltenco, Mexico",Jaltenco,BOM,TRUE,"JALTENCO, MEXICO"
145,15,Mexico,80,Jilotepec,2,Jilotepec,45,Jilotepec,"Jilotepec, Mexico",Jilotepec,North Toluca,TRUE,"JILOTEPEC, MEXICO"
146,15,Mexico,74,Zumpango,4,Nicolas Romero,46,Jilotzingo,"Jilotzingo, Mexico",Jilotzingo,BOM,TRUE,"JILOTZINGO, MEXICO"
147,15,Mexico,77,Atlacomulco,10,Jiquipilco,47,Jiquipilco,"Jiquipilco, Mexico",Jiquipilco,Toluca,TRUE,"JIQUIPILCO, MEXICO"
148,15,Mexico,77,Atlacomulco,9,Jocotitlan,48,Jocotitlan,"Jocotitlan, Mexico",Jocotitlan,Toluca,TRUE,"JOCOTITLAN, MEXICO"
149,15,Mexico,73,Toluca,4,Tenango del Valle,49,Joquicingo,"Joquicingo, Mexico",Joquicingo,Toluca,TRUE,"JOQUICINGO, MEXICO"
150,15,Mexico,75,Texcoco,6,Juchitepec,50,Juchitepec,"Juchitepec, Mexico",Juchitepec,BOM,TRUE,"JUCHITEPEC, MEXICO"
151,15,Mexico,73,Toluca,1,Lerma,51,Lerma,"Lerma, Mexico",Lerma,Toluca,TRUE,"LERMA, MEXICO"
152,15,Mexico,78,Coatepec Harinas,7,Malinalco,52,Malinalco,"Malinalco, Mexico",Malinalco,Toluca,TRUE,"MALINALCO, MEXICO"
153,15,Mexico,74,Zumpango,3,Cuautitlan,53,Melchor Ocampo,"Melchor Ocampo, Mexico",Melchor Ocampo,BOM,TRUE,"MELCHOR OCAMPO, MEXICO"
154,15,Mexico,73,Toluca,5,Toluca,54,Metepec,"Metepec, Mexico",Metepec,Toluca,TRUE,"METEPEC, MEXICO"
155,15,Mexico,73,Toluca,8,Mexicalzingo,55,Mexicaltzingo,"Mexicaltzingo, Mexico",Mexicaltzingo,BOM,TRUE,"MEXICALTZINGO, MEXICO"
156,15,Mexico,77,Atlacomulco,7,San Bartolo Morelos,56,Morelos,"Morelos, Mexico",Morelos,Toluca,TRUE,"MORELOS, MEXICO"
157,15,Mexico,74,Zumpango,4,Nicolas Romero,57,Naucalpan de Juarez,"Naucalpan de Juarez, Mexico",Naucalpan de Juarez,BOM,TRUE,"NAUCALPAN DE JUAREZ, MEXICO"
158,15,Mexico,74,Zumpango,1,Zumpango,59,Nextlalpan,"Nextlalpan, Mexico",Nextlalpan,BOM,TRUE,"NEXTLALPAN, MEXICO"
159,15,Mexico,74,Zumpango,4,Nicolas Romero,60,Nicolas Romero,"Nicolas Romero, Mexico",Nicolas Romero,BOM,TRUE,"NICOLAS ROMERO, MEXICO"
160,15,Mexico,74,Zumpango,2,San Juan Teotihuacan,61,Nopaltepec,"Nopaltepec, Mexico",Nopaltepec,BOM,TRUE,"NOPALTEPEC, MEXICO"
161,15,Mexico,73,Toluca,1,Lerma,62,Ocoyoacac,"Ocoyoacac, Mexico",Ocoyoacac,Toluca,TRUE,"OCOYOACAC, MEXICO"
162,15,Mexico,78,Coatepec Harinas,4,Ocuilan,63,Ocuilan,"Ocuilan, Mexico",Ocuilan,Toluca,TRUE,"OCUILAN, MEXICO"
163,15,Mexico,77,Atlacomulco,6,Oro El,64,El Oro,"El Oro, Mexico",El Oro,North Toluca,TRUE,"EL ORO, MEXICO"
164,15,Mexico,74,Zumpango,2,San Juan Teotihuacan,65,Otumba,"Otumba, Mexico",Otumba,BOM,TRUE,"OTUMBA, MEXICO"
166,15,Mexico,73,Toluca,9,Xonacatlan,67,Otzolotepec,"Otzolotepec, Mexico",Otzolotepec,Toluca,TRUE,"OTZOLOTEPEC, MEXICO"
167,15,Mexico,75,Texcoco,7,Atlautla,68,Ozumba,"Ozumba, Mexico",Ozumba,BOM,TRUE,"OZUMBA, MEXICO"
168,15,Mexico,75,Texcoco,1,Atenco,69,Papalotla,"Papalotla, Mexico",Papalotla,BOM,TRUE,"PAPALOTLA, MEXICO"
169,15,Mexico,75,Texcoco,3,Ixtapaluca,70,La Paz,"La Paz, Mexico",La Paz,BOM,TRUE,"LA PAZ, MEXICO"
170,15,Mexico,80,Jilotepec,3,Arroyozarco,71,Polotitlan,"Polotitlan, Mexico",Polotitlan,North Toluca,FALSE,"POLOTITLAN, MEXICO"
171,15,Mexico,73,Toluca,4,Tenango del Valle,72,Rayon,"Rayon, Mexico",Rayon,Toluca,TRUE,"RAYON, MEXICO"
172,15,Mexico,73,Toluca,4,Tenango del Valle,73,San Antonio La Isla,"San Antonio La Isla, Mexico",San Antonio La Isla,Toluca,TRUE,"SAN ANTONIO LA ISLA, MEXICO"
173,15,Mexico,77,Atlacomulco,1,San Felipe del Progreso,74,San Felipe del Progreso,"San Felipe del Progreso, Mexico",San Felipe del Progreso,Toluca,TRUE,"SAN FELIPE DEL PROGRESO, MEXICO"
174,15,Mexico,74,Zumpango,2,San Juan Teotihuacan,75,San Martin de Las Piramides,"San Martin de Las Piramides, Mexico",San Martin de las Piramides,BOM,TRUE,"SAN MARTIN DE LAS PIRAMIDES, MEXICO"
175,15,Mexico,73,Toluca,1,Lerma,76,San Mateo Atenco,"San Mateo Atenco, Mexico",San Mateo Atenco,Toluca,TRUE,"SAN MATEO ATENCO, MEXICO"
178,15,Mexico,80,Jilotepec,2,Jilotepec,79,Soyaniquilpan de Juarez,"Soyaniquilpan de Juarez, Mexico",Soyaniquilpan de Juarez,North Toluca,TRUE,"SOYANIQUILPAN DE JUAREZ, MEXICO"
180,15,Mexico,74,Zumpango,1,Zumpango,81,Tecamac,"Tecamac, Mexico",Tecamac,BOM,TRUE,"TECAMAC, MEXICO"
182,15,Mexico,75,Texcoco,6,Juchitepec,83,Temamatla,"Temamatla, Mexico",Temamatla,BOM,TRUE,"TEMAMATLA, MEXICO"
183,15,Mexico,74,Zumpango,2,San Juan Teotihuacan,84,Temascalapa,"Temascalapa, Mexico",Temascalapa,BOM,TRUE,"TEMASCALAPA, MEXICO"
184,15,Mexico,77,Atlacomulco,5,Temascalcingo,85,Temascalcingo,"Temascalcingo, Mexico",Temascalcingo,North Toluca,FALSE,"TEMASCALCINGO, MEXICO"
186,15,Mexico,73,Toluca,6,Temoaya,87,Temoaya,"Temoaya, Mexico",Temoaya,Toluca,TRUE,"TEMOAYA, MEXICO"
187,15,Mexico,78,Coatepec Harinas,2,Tenancingo,88,Tenancingo,"Tenancingo, Mexico",Tenancingo,Toluca,TRUE,"TENANCINGO, MEXICO"
188,15,Mexico,75,Texcoco,6,Juchitepec,89,Tenango del Aire,"Tenango del Aire, Mexico",Tenango del Aire,BOM,TRUE,"TENANGO DEL AIRE, MEXICO"
189,15,Mexico,73,Toluca,4,Tenango del Valle,90,Tenango del Valle,"Tenango del Valle, Mexico",Tenango del Valle,Toluca,TRUE,"TENANGO DEL VALLE, MEXICO"
190,15,Mexico,74,Zumpango,3,Cuautitlan,91,Teoloyucan,"Teoloyucan, Mexico",Teoloyucan,BOM,TRUE,"TEOLOYUCAN, MEXICO"
