"","Estado_ID","Estado","ddr_ID","ddr","Cader_ID","Cader","Municipio_ID","Municipio","EstadoMunicipio",".remove_duplicates"
"108",15,"Mexico",73,"Toluca",7,"Santiago Tianguistengo",43,"Xalatlaco","Xalatlaco, Mexico",TRUE
"109",15,"Mexico",73,"Toluca",7,"Santiago Tianguistengo",98,"Texcalyacac","Texcalyacac, Mexico",TRUE
"110",15,"Mexico",73,"Toluca",7,"Santiago Tianguistengo",101,"Tianguistenco","Tianguistenco, Mexico",TRUE
"111",15,"Mexico",73,"Toluca",8,"Mexicalzingo",18,"Calimaya","Calimaya, Mexico",TRUE
"112",15,"Mexico",73,"Toluca",8,"Mexicalzingo",27,"Chapultepec","Chapultepec, Mexico",TRUE
"113",15,"Mexico",73,"Toluca",8,"Mexicalzingo",55,"Mexicaltzingo","Mexicaltzingo, Mexico",TRUE
"114",15,"Mexico",73,"Toluca",9,"Xonacatlan",67,"Otzolotepec","Otzolotepec, Mexico",TRUE
"115",15,"Mexico",73,"Toluca",9,"Xonacatlan",115,"Xonacatlan","Xonacatlan, Mexico",TRUE
"116",15,"Mexico",74,"Zumpango",1,"Zumpango",10,"Apaxco","Apaxco, Mexico",TRUE
"117",15,"Mexico",74,"Zumpango",1,"Zumpango",36,"Hueypoxtla","Hueypoxtla, Mexico",TRUE
"118",15,"Mexico",74,"Zumpango",1,"Zumpango",44,"Jaltenco","Jaltenco, Mexico",TRUE
"119",15,"Mexico",74,"Zumpango",1,"Zumpango",59,"Nextlalpan","Nextlalpan, Mexico",TRUE
"120",15,"Mexico",74,"Zumpango",1,"Zumpango",81,"Tecamac","Tecamac, Mexico",TRUE
"121",15,"Mexico",74,"Zumpango",1,"Zumpango",96,"Tequixquiac","Tequixquiac, Mexico",TRUE
"122",15,"Mexico",74,"Zumpango",1,"Zumpango",120,"Zumpango","Zumpango, Mexico",TRUE
"123",15,"Mexico",74,"Zumpango",2,"San Juan Teotihuacan",2,"Acolman","Acolman, Mexico",TRUE
"124",15,"Mexico",74,"Zumpango",2,"San Juan Teotihuacan",16,"Axapusco","Axapusco, Mexico",TRUE
"125",15,"Mexico",74,"Zumpango",2,"San Juan Teotihuacan",61,"Nopaltepec","Nopaltepec, Mexico",TRUE
"126",15,"Mexico",74,"Zumpango",2,"San Juan Teotihuacan",65,"Otumba","Otumba, Mexico",TRUE
"127",15,"Mexico",74,"Zumpango",2,"San Juan Teotihuacan",75,"San Martin de Las Piramides","San Martin de Las Piramides, Mexico",TRUE
"128",15,"Mexico",74,"Zumpango",2,"San Juan Teotihuacan",84,"Temascalapa","Temascalapa, Mexico",TRUE
"129",15,"Mexico",74,"Zumpango",2,"San Juan Teotihuacan",92,"Teotihuacan","Teotihuacan, Mexico",TRUE
"130",15,"Mexico",74,"Zumpango",2,"San Juan Teotihuacan",100,"Tezoyuca","Tezoyuca, Mexico",TRUE
"131",15,"Mexico",74,"Zumpango",3,"Cuautitlan",23,"Coyotepec","Coyotepec, Mexico",TRUE
"132",15,"Mexico",74,"Zumpango",3,"Cuautitlan",24,"Cuautitlan","Cuautitlan, Mexico",TRUE
"133",15,"Mexico",74,"Zumpango",3,"Cuautitlan",35,"Huehuetoca","Huehuetoca, Mexico",TRUE
"134",15,"Mexico",74,"Zumpango",3,"Cuautitlan",53,"Melchor Ocampo","Melchor Ocampo, Mexico",TRUE
"135",15,"Mexico",74,"Zumpango",3,"Cuautitlan",91,"Teoloyucan","Teoloyucan, Mexico",TRUE
"136",15,"Mexico",74,"Zumpango",3,"Cuautitlan",95,"Tepotzotlan","Tepotzotlan, Mexico",TRUE
"137",15,"Mexico",74,"Zumpango",3,"Cuautitlan",108,"Tultepec","Tultepec, Mexico",TRUE
"138",15,"Mexico",74,"Zumpango",3,"Cuautitlan",109,"Tultitlan","Tultitlan, Mexico",TRUE
"139",15,"Mexico",74,"Zumpango",3,"Cuautitlan",121,"Cuautitlan Izcalli","Cuautitlan Izcalli, Mexico",TRUE
"140",15,"Mexico",74,"Zumpango",4,"Nicolas Romero",13,"Atizapan de Zaragoza","Atizapan de Zaragoza, Mexico",TRUE
"141",15,"Mexico",74,"Zumpango",4,"Nicolas Romero",38,"Isidro Fabela","Isidro Fabela, Mexico",TRUE
"142",15,"Mexico",74,"Zumpango",4,"Nicolas Romero",46,"Jilotzingo","Jilotzingo, Mexico",TRUE
